Type;MP;Beta
hat;0.05;9,86972937936636e-01
hat;0.05;9,51195130254637e-01
hat;0.05;8,53901907802149e-01
hat;0.05;1,26669147175413e+00
hat;0.05;9,36258084507474e-01
hat;0.05;9,45417113336890e-01
hat;0.05;8,17225011741945e-01
hat;0.05;1,18678582497040e+00
hat;0.05;8,01980924892153e-01
hat;0.05;9,51524418451880e-01
hat;0.05;6,77489326649825e-01
hat;0.05;9,84191512245008e-01
hat;0.05;8,63281583773269e-01
hat;0.05;7,29308012634325e-01
hat;0.05;5,87772851192125e-01
hat;0.05;5,50429399689509e-01
hat;0.05;9,46504670492601e-01
hat;0.05;8,44989285418175e-01
hat;0.05;1,12384220388314e+00
hat;0.05;1,11409265171940e+00
hat;0.05;1,04930688601614e+00
hat;0.05;9,23587534108804e-01
hat;0.05;6,51786310167494e-01
hat;0.05;1,04928668750870e+00
hat;0.05;1,29305467589489e-01
hat;0.05;1,15849368971703e+00
hat;0.05;8,12037943297075e-01
hat;0.05;9,49346921518285e-01
hat;0.05;9,17629272690867e-01
hat;0.05;8,70439415633619e-01
hat;0.05;9,38587424784897e-01
hat;0.05;1,18944159945308e+00
hat;0.05;7,66927955551053e-01
hat;0.05;1,15628172333551e+00
hat;0.05;1,09410224404063e+00
hat;0.05;9,60631746520451e-01
hat;0.05;1,03737640581743e+00
hat;0.05;4,03285428603455e-01
hat;0.05;6,97026006792859e-01
hat;0.05;9,68662362595804e-01
hat;0.05;1,24519229889458e+00
hat;0.05;5,86963244203156e-01
hat;0.05;1,35618099302060e+00
hat;0.05;8,60445360916272e-01
hat;0.05;2,65013176708175e-01
hat;0.05;8,74202284309745e-01
hat;0.05;5,11279849940409e-01
hat;0.05;7,55812235171056e-01
hat;0.05;8,04749861320430e-01
hat;0.05;8,31115874229722e-01
hat;0.05;7,23410834939895e-01
hat;0.05;1,15359462538384e+00
hat;0.05;9,65352068618574e-01
hat;0.05;4,27488633792010e-01
hat;0.05;1,09160669690008e+00
hat;0.05;8,56291294273983e-01
hat;0.05;6,32755075353685e-01
hat;0.05;8,78254730325662e-01
hat;0.05;9,23553468858266e-01
hat;0.05;8,09081396708680e-01
hat;0.05;8,27697619365072e-01
hat;0.05;6,80780994475923e-01
hat;0.05;1,06177569709106e+00
hat;0.05;1,07367139647345e+00
hat;0.05;9,53814571306761e-01
hat;0.05;1,01994084902179e+00
hat;0.05;1,04790389487801e+00
hat;0.05;7,66012087356810e-01
hat;0.05;1,01688135370573e+00
hat;0.05;6,22902419541138e-01
hat;0.05;6,80090301626135e-01
hat;0.05;7,66799035351144e-01
hat;0.05;1,03210501962551e+00
hat;0.05;8,69147362081949e-01
hat;0.05;8,49562473231152e-01
hat;0.05;9,64210632180124e-01
hat;0.05;9,93890576871972e-01
hat;0.05;4,05323492077438e-01
hat;0.05;1,22254645949390e+00
hat;0.05;1,03139249255012e+00
hat;0.05;6,31189852997273e-01
hat;0.05;1,22674654378877e+00
hat;0.05;5,86054303944480e-01
hat;0.05;6,26579223046630e-01
hat;0.05;1,18706544320120e+00
hat;0.05;1,34149443182256e+00
hat;0.05;4,03189745920366e-01
hat;0.05;2,40222664071702e-01
hat;0.05;1,01012100190585e+00
hat;0.05;9,31628946034838e-01
hat;0.05;5,98081782878104e-01
hat;0.05;1,12110315893108e+00
hat;0.05;8,82460265185679e-01
hat;0.05;9,41321766138258e-01
hat;0.05;8,87915946258600e-01
hat;0.05;6,89891365314321e-01
hat;0.05;1,07134317375961e+00
hat;0.05;8,63326807955592e-01
hat;0.05;6,51710899700780e-01
hat;0.05;8,67842782534000e-01
hat;0.05;7,18374583958185e-01
hat;0.05;1,12259837901770e+00
hat;0.05;1,16641912270600e+00
hat;0.05;9,72287380858316e-01
hat;0.05;7,78172055932747e-01
hat;0.05;5,21682646319646e-01
hat;0.05;2,94889298386824e-01
hat;0.05;7,47642950119047e-01
hat;0.05;1,11278340017945e+00
hat;0.05;1,02201636979283e+00
hat;0.05;1,14855961148799e+00
hat;0.05;8,50929048569965e-01
hat;0.05;7,24585012873575e-01
hat;0.05;7,75569074791664e-01
hat;0.05;1,07025432596104e+00
hat;0.05;9,51768184975547e-01
hat;0.05;1,12534219830096e+00
hat;0.05;7,25565159858035e-01
hat;0.05;7,30688693719225e-01
hat;0.05;1,04291179846716e+00
hat;0.05;5,63920225587978e-01
hat;0.05;1,20034917966319e+00
hat;0.05;8,64955124577155e-01
hat;0.05;5,24269101870122e-01
hat;0.05;1,07362222037559e+00
hat;0.05;8,89875684429266e-01
hat;0.05;9,92285350993328e-01
hat;0.05;8,62909818875409e-01
hat;0.05;6,59920277709700e-01
hat;0.05;8,21625100154956e-01
hat;0.05;1,59699596710840e+00
hat;0.05;1,03665255436825e+00
hat;0.05;5,84442317010921e-01
hat;0.05;1,25625008280819e+00
hat;0.05;1,08194260409998e+00
hat;0.05;6,54715655548470e-01
hat;0.05;1,05040575785783e+00
hat;0.05;6,56137544605157e-01
hat;0.05;7,21921127196370e-01
hat;0.05;7,14920855388950e-01
hat;0.05;7,18310843118995e-01
hat;0.05;8,81673145846836e-01
hat;0.05;8,06716734096038e-01
hat;0.05;8,94297765419371e-01
hat;0.05;7,68593285496916e-01
hat;0.05;5,78044285203766e-01
hat;0.05;1,24739197283939e+00
hat;0.05;8,39887482833884e-01
hat;0.05;8,44658153143802e-01
hat;0.05;8,16670381193158e-01
hat;0.05;9,59340873954063e-01
hat;0.05;8,93877944642174e-01
hat;0.05;8,04036611770595e-01
hat;0.05;9,62709019397102e-01
hat;0.05;8,94189543681010e-01
